Indonesian Word,big
higienis,1
hijau,2
hijau abadi,1
hobi,1
homologi,1
hormat,2
hubungan,1
hukum,1
ibu,1
idealisme,1
idola,1
ilmiah,1
ilmuwan,1
imajinatif,1
imamat,1
imut,1
inaugurasi,1
indah,1
indah sekali,1
individualitas,1
infiltrasi,1
informasi,1
ingin sekali,1
ingin tahu,1
inklusif,1
inovasi,1
inspektur,1
inspirasi,1
instrumental,1
integritas,1
intelek,1
intelektual,1
intelijen,1
intens,1
intervensi,1
inti,1
intim,1
intisari,1
intonasi,1
intuisi,1
intuitif,1
inventif,1
irama,1
iringan,1
isi,1
istimewa,1
istirahat,2
izin,2
jackpot,1
jaminan,3
jamu,1
janda,1
jangkar,1
janji,1
jantan,1
jarum,1
jasmani,1
jatuh cinta,1
jelas,4
jelasnya,1
jenakawan,1
jenis,1
jenius,1
jimat,1
jinak,1
juara,1
judul,1
jujur,5
kabinet,1
kafe,1
kamar bayi,1
kamus,1
kapitalis,1
karier,1
kartu as,1
karunia,1
kasih sayang,2
kata,1
kata pengantar singkat,1
kategoris,1
kaum bangsawan,1
kawan,1
ke luar,1
keadilan,1
keagungan,2
keahlian,3
keajaiban,3
keakraban,1
keandalan,1
keanehan,1
keanggunan,1
keaslian,2
kebahagiaan,2
kebaikan,2
kebajikan,2
kebaktian,1
kebanggaan,1
kebangkitan,1
kebebasan,2
kebenaran,2
keberanian,5
kebersihan,1
keberuntungan,1
kebesaran,1
kebidanan,1
kebijaksanaan,4
kebulatan suara,1
kebun,1
kecakapan,1
kecantikan,1
kecapi,1
kecenderungan,1
kecengengan,1
kecepatan,1
kecerahan,1
kecokelatan,1
kecukupan,2
kedalaman,1
kedatangan,1
kedekatan,1
kedermawanan,1
kedewasaan,1
kedudukan,1
keenakan,1
kegagahan,1
kegairahan,1
kegemaran,2
kegembiraan,8
kegigihan,2
kegunaan,2
kehadiran,1
keheningan,1
kehormatan,2
keibuan,2
keilahian,1
keindahan,1
keinginan,1
kejujuran,4
kejutan,1
kekaguman,1
kekal,2
kekasih,2
kekayaan,2
kekek,1
kekuasaan,2
kekuatan,1
kekudusan,1
kekusutan,1
kelahiran,1
kelancaran,1
kelancaran berbicara,1
kelangsungan,1
kelemah-lembutan,1
kelembutan,1
kelengkapan,1
kelimpahan,2
kelincahan,1
kelip,1
kelonggaran,1
keluarga,1
kelulusan,1
kemahakuasaan,1
kemahiran,1
kemajuan,4
kemakmuran,2
kemampuan,2
kemanjuran,1
kemanusiaan,2
kemasyhuran,2
kembar,1
kemegahan,1
kemenangan,5
kementerian,1
kemerdekaan,1
kemewahan,2
kemitraan,1
kemurahan hati,1
kemurnian,1
ken,1
kenaikan,1
kenang-kenangan,2
kenari,1
kenyamanan,3
kepadatan,1
kepahlawanan,1
kepala pelayan,1
kepala suku,1
kepandaian,1
kepanikan,1
kepastian,2
kepatuhan,1
kepekaan,1
kepemilikan,1
keperawanan,1
kepercayaan,2
kepercayaan diri,1
kepolosan,1
kepopuleran,1
kepuasan,1
keramahan,2
kerendahhatian,1
kerenyam,1
kerinduan,1
keriting,1
keriuhan di pawai,1
kerja sama,1
kerukunan,1
kesabaran,2
kesadaran,1
kesalehan,1
kesan,1
kesatuan,1
kesederhanaan,1
kesediaan,1
kesehatan,1
keseimbangan,2
kesejukan,1
kesempurnaan,1
kesesuaian,3
kesetiaan,2
kesiapan,1
kesopanan,6
kesucian,1
kesukaan,1
kesuksesan,1
kesungguhan,1
ketaatan,1
ketabahan,1
ketahanan,1
ketajaman,2
ketakterbatasan,1
ketangkasan,2
ketegasan,1
keteguhan,1
ketekunan,1
ketenangan,4
ketepatan waktu,1
keteraturan,1
keterbacaan,1
keterbukaan,1
keterlibatan,1
keterusterangan,1
ketidakberpihakan,1
ketinggian,1
ketua,2
keturunan,1
keuangan,1
keunggulan,4
keuntungan,2
kewaspadaan,2
keyakinan,1
khotbah,1
kicauan,1
kidung,1
kilap,1
kilau,1
kina,1
kisah,1
klasik,3
klerikal,1
klimaks,1
koalisi,1
kognitif,1
koheren,1
koherensi,1
kokoh,2
kolam,1
kolonel,1
kolosal,1
komandan,1
komentator,1
komodor,1
kompak,1
kompatibel,1
kompeten,1
kompetensi,2
komposer,1
komuni,1
komunikatif,1
kondusif,1
kongregasi,1
konkordansi,1
konsekrasi,1
konselor,1
konsentris,1
konservasi,1
konsistensi,1
konsonan,1
konstan,1
konstitusional,1
kontak,1
kontemplasi,1
kontur,1
kooperatif,1
korespondensi,1
kosakata,1
kosmopolitan,1
kreatif,1
kredibel,1
kredibilitas,1
kredit,1
krim,1
kristal,1
kritik,1
kronik,1
ksatria,1
kualifikasi,1
kuat,5
kuda jantan,1
kue-kue,1
kuliner,1
kutu buku,2
lagi,1
lagu,1
lagu Natal,1
lagu pendek,1
laksamana,1
lambang,1
lampiran,1
lamunan,1
langit,1
langsing,1
langsung,1
lapis,1
lapisan,1
larutan,1
laser,1
laut,1
layak,2
lebih besar,1
lebih menyukai,1
lebih tua,1
lega,1
legendaris,1
lembut,1
lencana,1
lentur,1
lezat,7
liberal,1
liburan,1
licin,1
liga,1
lihai,1
lincah,3
liris,1
listrik,2
logis,1
loyal,1
loyalitas,1
luar biasa,8
luas,3
lucu sekali,1
lumayan,1
lumba-lumba,1
lunak,1
maaf,1
magnet,1
magnetit,1
mahakuasa,1
mahatahu,1
mahir,3
maju,2
makan,1
makan malam,1
makanan,3
makmur,3
maksimum,1
malaikat,1
mandat,1
mandi,1
mandor,1
manfaat,1
manis,2
manisan,1
manna,1
mantap,1
manusia super,1
manusiawi,1
mapan,1
marquis,1
marsekal,1
masa kanak-kanak,1
masa kejayaan,1
masa pensiun,1
maskulin,1
masyarakat,1
matahari,1
matahari terbenam,1
matang,1
mayoritas,1
mazmur,1
medali,1
mediasi,1
medis,1
mediterania,1
megah,5
mekar,1
melaksanakan,1
melanjutkan,1
melayani,1
melebihi,2
melengkapi,1
melestarikan,2
melihat,1
melimpah,1
melimpahkan,1
melindungi,2
melompat,1
meluncur,1
meluncurkan,1
memaafkan,3
memahami,2
memancarkan,1
memandu,1
memanen,1
memastikan,1
mematangkan,1
mematuk,1
membaca,1
membalas,1
membanggakan,1
membangkitkan,2
membangun,2
membantu,2
membarui lagi,1
membayar,1
membayar kembali,2
membebaskan,1
membela,3
membelai,1
membenamkan,1
membentengi,1
membentuk,1
memberdayakan,1
memberi,3
memberikan,1
memberkati,2
membersihkan,2
membina,1
membuat,1
membuat terkesan,1
membuat ulang,1
membuka,2
membuktikan,2
membumbui,1
memeluk,1
memenuhi,1
memenuhi syarat,2
memeriahkan,1
memerintah,1
memikat hati,1
memilih,2
memiliki,1
memimpin,1
meminta maaf,1
mempekerjakan,1
mempelai,1
mempelajari,1
memperbaiki,6
mempercantik,1
memperingati,1
memperkaya,1
memperkuat,3
memperoleh,2
memperpanjang,1
mempersiapkan,1
mempesona,2
memproduksi,1
memuaskan,2
memudahkan,1
memuja,2
memuji,2
memukau,1
memuliakan,1
memulihkan,1
memungkinkan,1
memurnikan,1
menakjubkan,2
menambah,1
menanggung,1
menanjak,1
menara,1
menari,1
menarik,7
menasihati,2
menawan,2
menawarkan,1
mencerahkan,1
mencolok,1
mendahului,1
mendapatkan,3
mendarat,1
mendasar,1
mendayung,1
mendebarkan,1
mendeteksi,1
mendidik,1
mendominasi,1
mendorong,1
menduga,1
mendukung,1
menebus,1
menegaskan,2
menegaskan kembali,1
menempa,1
menempati,1
menenangkan,3
menengahi,1
menerangi,2
menerima,2
mengagumi,1
mengagungkan,1
mengajar,1
mengakui,1
mengalir,1
mengambil bagian,1
mengangkat,1
mengantar,1
menganugerahkan,1
mengatur,3
mengelilingi,1
mengelola,1
mengembalikan lagi,1
mengembangkan,1
mengenakan,1
mengepung,1
mengerti,1
menggabungkan,1
menggarisbawahi,1
menggelitik,1
menggemaskan,1
menggertakkan,1
menggiling,1
menggolongkan,1
menghadiahkan,1
mengharapkan,1
menghargai,2
menghasilkan,1
menghibur,4
menghidupkan,2
menghitung,2
menghormati,3
mengilhami,1
mengimbangi,2
menginginkan,1
menginstruksikan,1
mengisi kembali,1
mengolah,1
menguasai,1
menguatkan,1
mengubah,3
menguduskan,1
mengundang,2
mengunjungi,1
menguntungkan,2
mengutip,1
menikmati,2
meningkat,1
meningkatkan,2
meniru,1
menjaga,1
menjamin,2
menjanjikan,1
menjelaskan,4
menonjol,2
menopang,1
menukarkan,1
menundukkan,1
menutupi,1
menyambut,1
menyampaikan,1
menyanjung,1
menyanyi,1
menyarankan,1
menyaring,1
menyebarkan,1
menyederhanakan,1
menyediakan,2
menyegarkan,1
menyelamatkan,1
menyelesaikan,2
menyelidiki,1
menyenangkan,6
menyeringai,1
menyesuaikan,1
menyetujui,2
menyimpan,1
menyimpulkan,1
menyinkronkan,1
menyiram,1
menyukai,2
menyumbang,1
meraih,1
merak,1
meramalkan,1
merangkul,1
merangsang,1
merapikan,1
merasa,1
merawat,1
merayakan,1
mercu suar,1
meredakan,2
merekonstruksi,1
meremajakan,1
merembes,1
merenovasi,1
merenungkan,1
merevisi,1
meriah,1
meringankan,1
merombak,1
merpati,1
metropolitan,1
mewah,3
mewajibkan,1
meyakinkan,2
mikroskopi,1
mimbar,1
minat,1
minta maaf,1
minum,1
minuman,1
minyak bumi,1
misionaris,1
mitra,1
model,1
moderator,1
modis,1
momentum,1
montok,1
moral,2
moralitas,1
mortir,1
motif,1
muda,1
mudah,1
mudah beradaptasi,1
mudah diingat,1
mulia,1
murah,1
murni,3
musik,1
musikal,1
mutlak,1
nabi,1
nalar,1
naluriah,1
nasihat,2
naskah,1
naturalis,1
negosiasi,1
nektar,1
nenek,1
nenek moyang,1
niat baik,1
nikah,1
nirkabel,1
normalitas,1
nyali,1
nyaman,2
nyanyian,1
nyanyian pujian,1
nyaring,1
nyata,1
oasis,1
obat mujarab,1
obat pencahar,1
objektif,1
opera,1
opsional,1
optimis,2
optimisme,1
orang desa,1
orang-orang terkenal,1
orang-orangan sawah,1
organik,1
organisasi,1
orgasme,1
orkestra,1
otak,2
otorisasi,1
otoritas,1
pabrikan,1
pacaran,1
padang rumput,2
padat,1
paduan suara,3
pahat,1
pahlawan,1
pahlawan wanita,1
pak,1
paliatif,1
paling tinggi,1
pandai berbicara,1
panduan,1
pangeran,2
pantas,1
pantomim,1
paprika,1
parafrase,1
parietal,1
partisipasi,1
pasangan,2
pasien,1
pasti,1
paten,1
patriarkhal,1
patuh,1
patung,2
paus,1
pedalaman,1
pejantan,1
pejuang,1
pekerjaan,2
pelabuhan,1
pelajaran,1
pelampung,1
pelanggan,1
pelawak,1
pelayan,1
pelega,1
pelindung,3
pelopor,3
peluang,1
pemahkotaan,1
pembaca,1
pembantu,2
pembaptisan,1
pembaru,1
pembaruan,2
pembebasan,3
pembela,1
pembelaan,1
pembenaran,1
pemberani,1
pemberdayaan,1
pembersihan,2
pembicara utama,1
pembimbing,1
pemenang,2
pemenang hadiah,1
pemenuhan,1
pemikir,1
pemimpin,1
pemotong,1
pemujaan,3
pemukim,1
pemulihan,1
pemulihan nama baik,1
pemurnian,1
penampil,1
penanaman,1
penangkal,2
penanya,1
penasihat,1
pencalonan,1
pencapaian,2
pencarian,1
pencegahan,2
pencerahan,1
penceramah,1
pendakian,1
pendamping,1
pendampingan,1
pendeta,4
pendidikan,2
penduduk,1
pendukung,2
penebusan,1
penebusan dosa,1
penemu,1
penemuan,1
penengah,1
penentuan,1
penerangan,1
penerbangan,1
penerimaan,1
pengacara,1
pengagum,1
pengajar,1
pengalihan,1
pengampunan,1
pengantin,1
pengantin perempuan,1
pengarang,1
pengaruh,1
pengawal,1
pengawas,1
pengawasan,1
pengawet,1
pengekangan,1
pengelolaan,1
pengembalian,1
pengendara,1
pengetahuan,1
penggantian,1
penggemar,1
penggerak,1
penggoda,1
penghargaan,1
penghasilan,1
penghiburan,1
penghormatan,1
penghuni,1
pengiriman,1
pengiring pengantin perempuan,1
pengisi daya,1
penglihatan,1
penguasaan,1
penguatan,1
pengudusan,1
pengunjung,1
pengurangan,1
penikmat,1
peninggian,1
peningkatan,1
penjaga,5
pentahbisan,1
penting,4
pentingnya,1
penuh,4
penuh arti,1
penuh bintang,1
penuh harapan,1
penuh kasih,2
penuh perhatian,2
penuh pertimbangan,1
penuh semangat,1
penulis,2
penutupan,1
penyair,1
penyajian,1
penyataan,1
penyatuan,1
penyayang,1
penyelamatan,1
penyelesaian,1
penyewa,1
penyewaan,1
penyiasat,1
penyimpanan,1
penyumbang,1
penyunatan,1
perada,1
peradaban,1
peradilan,1
perakitan,1
peramal,2
perancang,1
perangsangan,1
perapian,1
perawakan,1
perawan,1
perawat,1
perayaan,1
perbaikan,4
perbedaan,1
percakapan,1
percaya,1
percaya diri,2
percintaan,1
perdamaian,2
perdebatan,1
perekam,1
perencanaan,1
perhatian,3
perhiasan,1
periang,1
peringatan,2
perjalanan,2
perjamuan,1
perjanjian,1
perkawinan,1
perlindungan,1
permata,1
permen,1
permintaan maaf,1
permohonan,1
pernikahan,1
perombakan,1
persahabatan,2
persamaan,1
persatuan,1
persaudaraan,2
persaudaraan wanita,1
persediaan,1
persemakmuran,1
persetujuan,4
pertahanan,1
pertanggungjawaban,1
pertanian,1
pertanyaan,2
pertimbangan kembali,1
pertumbuhan,1
perunding,1
perusahaan,1
perwalian,1
perwira,1
pesenam,1
pesisir,1
pesona,2
pesta,2
peternakan,1
petualang,1
petualangan,1
petugas,1
petunjuk,1
phoenix,1
piala,1
pidato,2
pijat,1
piknik,1
pil,1
pilih kasih,1
pilihan,2
pilot,1
pita,1
pleno,1
pohon,1
pohon salam,1
polisi,1
politik,1
polos,2
pondok,1
popularitas,1
populasi,1
poros,1
portabel,1
potensi,1
potongan harga,1
praktek,1
prem,1
presisi,1
prestasi,2
prestise,1
pria,1
primer,1
produksi,1
produktif,2
produktifitas,1
produsen,1
profesi,1
profesional,1
profesor,1
progresif,1
promosi,1
prosedur,1
prosesi,1
prospek,1
pualam,1
puas,1
publik,1
pujian,2
puncak,2
putihnya,1
putri,1
radio,1
rahim,1
rahmat,1
raja,1
ramah,6
ramah tamah,1
ramping,1
rapi,3
rasa hormat,1
rasa ingin tahu,1
rasa manis,1
rasa syukur,1
rasional,1
rasul,1
reformasi,1
regresif,1
rehabilitasi,1
rekan,1
reklamasi,1
rekonsiliasi,1
rekonstruksi,1
rekreasi,2
rela,1
relaksasi,1
relevan,1
renda,1
rendah hati,2
renovasi,1
reporter,1
reproduksi,1
resistif,1
resmi,1
responsif,1
restitusi,1
restoratif,1
reuni,1
revolusi,1
revolusioner,1
riam,1
riang,3
ringkas,1
riuh,1
roadster,1
roh,1
romantis,1
romantisme,1
roti panggang,1
royalti,1
rubrik,1
rumah bermain,1
rumah tangga,1
rumus,1
rupawan,1
ruth,1
rutin,1
sadar,1
sah,2
salam,1
saleh,2
saling,1
salut,1
sama,1
sama sekali,1
sambutan hangat,1
samurai,1
sangat,2
sangat berharga,1
sangat gembira,1
sangat indah,2
sangat luas,1
sangat rapi,1
sanitasi,1
santai,1
santo,1
santun,1
saraf,1
sarapan,1
sarjana,1
sarjana muda,1
satin,1
saudara,1
saudara laki-laki,1
sayang,3
sebaiknya,1
sebelumnya,1
sebenarnya,1
secara harmonis,1
secara kolektif,1
secara mencolok,1
secara mengejutkan,1
secara pantas,1
sedang,1
sedang belajar,1
sederhana,2
sedikit,1
segel,1
segera,1
sehat,3
seimbang,1
sekering,1
sekretariat,1
seks,1
sekutu,2
sela,1
selai,1
selalu,1
selebriti,1
selingan,1
semangat,7
sembuh,2
sempurna,5
senang,3
senang sekali,1
sendiri,1
seni,1
senioritas,1
sensasi,1
sensasional,1
sensual,2
sensualitas,1
sentimentil,1
senyum,1
sepak bola,1
sepakat,2
sepatutnya,1
sepenuh hati,1
sepenuhnya,1
seperti bangsawan,1
seperti beludru,1
seperti malaikat,1
seragam,1
serempak,1
serikat,1
seru,2
serum,1
sesama,1
sesepuh,1
sesuai,5
sesungguhnya,1
setia,2
setuju,3
siap,1
silsilah,1
simbolis,1
simetri,1
simetris,1
simfoni,1
simpati,1
simpatik,1
sinergis,1
singa,1
sinode,1
sinonim,1
sipil,1
skor,1
sobat,1
solvabilitas,1
sonar,1
sonata,1
sonet,1
sopan,3
sosial,1
spa,1
spaniel,1
spesial,1
spesies,1
sponsor,1
stabil,1
staccato,1
status,1
sterling,1
strategis,1
struktur,1
suaka,1
suara,1
sublimasi,1
substantif,1
subur,2
suci,2
suka berteman,1
suka damai,1
sukacita,2
sukarelawan,1
sulung,1
sumbangan,2
sumber daya,1
sumber hidup,1
sumber keuntungan,1
sumpah,3
sumsum,1
sungguh,2
sungguh-sungguh,2
sup krim,1
superstar,1
supremasi,1
surat kabar,1
surga,2
surgawi,2
suri teladan,1
survei,1
sutra,1
taat,2
tabah,1
tabungan,1
tahan,1
tahan air,1
tahan api,1
tahan cuaca,1
tahan karat,1
tahan lama,1
tajam,2
tak ada taranya,1
tak bercacat,1
tak berkesudahan,1
tak berujung,1
tak kenal takut,1
tak terbantahkan,1
tak terbatas,2
tak terbayangkan,1
tak tergoyahkan,1
tak terhapuskan,1
tak terkalahkan,1
tak terkekang,1
tak terlukiskan,1
tak terpisahkan,1
tak terputus,1
tak tertandingi,1
takhta,1
takhyul,1
taksi,1
tambahan,2
tanah,1
tangguh,1
tanpa cedera,1
tanpa pertumpahan darah,1
tante,1
tata krama,1
tawa,1
tawar-menawar,1
tegak lurus,1
teguh,1
teknologi,1
tekun,1
teladan,1
teliti,1
teluk kecil,1
teman,1
tempat,1
tempat berlindung,1
tempat bermain,1
tempat tidur,1
tenaga kerja,1
tenang,5
tengah,1
tentara,1
teoretis,1
tepat,5
tepat waktu,2
tepuk,1
tepuk tangan,1
terakreditasi,1
teramat,1
terampil,1
terapeutik,1
terapi,1
terbaca,1
terbukti benar,1
terhibur,2
terhormat,3
terinspirasi,1
terjamin,1
terkemuka,2
terkenal,6
termasuk,3
terorganisir,1
terpelajar,1
terpenting,2
terpercaya,1
terpesona,2
terpilih,1
terpuji,4
tersebar luas,1
tersenyum,1
terserap,1
tersusun,1
tertarik,1
tertawa,2
tertawa kecil,1
tertib,1
tertinggi,1
terus mata,1
tetangga,1
tetap,1
tidak berbahaya,1
tidak bias,1
tidak bisa dihancurkan,1
tidak bisa dipecahkan,1
tidak dapat dicabut,1
tidak dapat direduksi,1
tidak dibatasi,1
tidak diragukan lagi,2
tidak egois,1
tidak memihak,1
tidak perlu dipertanyakan lagi,1
tidak terduga,1
tidak terinfeksi,1
tidur sebentar,1
tindakan,1
tinggi,1
tingkat,1
tinjauan ke masa depan,1
toko,1
toko buku,1
toleran,1
toleransi,1
tongkat,1
tontonan,1
tradisional,1
transendensi,1
trigonometri,1
tua,1
tugas,2
tujuan,1
tukang,2
tukang panir,1
tukang sortir,1
tulang belakang,1
tulang punggung,1
tulus,2
tumbuh,1
uang,2
uang tunai,1
ubin,1
ucapan selamat,1
ucapan syukur,1
ulet,1
umum,1
umur panjang,1
undangan,1
unggul,3
unik,1
upacara,1
upah,1
upaya,1
upeti,1
utama,4
utopis,1
utuh,1
vaksin,1
verifikasi,1
veteran,1
vikaris,1
visioner,1
vital,1
wali,1
walikota,1
wanita cantik,1
warga negara,1
warisan,1
wartawan,1
wasit,1
waspada,3
wot,1
yang saling melengkapi,1
yg menerangkan,1
yg mungkin berubah,1
yg tak ada bandingannya,1
zat,1
