Indonesian Word,average
dikreditkan,0.5
dilegalkan,0.5
dimanifestasikan,0.5
dimulainya kembali,0.5
diperbolehkan,0.5
diperoleh,0.5
diplomasi,0.5
diplomatik,0.5
dipoles,0.5
dipopulerkan,0.5
dipraktekkan,0.5
dipuji,0.5
diramalkan,0.5
diremajakan,0.5
disebutkan di atas,0.5
disengaja,0.5
diskresi,0.5
diskusi,0.5
distilasi,0.5
ditahbiskan,0.5
ditandai,0.5
ditemukan,0.5
diterima,0.5
ditingkatkan,0.5
diukur,0.5
diverifikasi,0.5
diwakili,0.5
dokter,1.0
domba,0.5
dua bahasa,0.5
duet,0.5
durian runtuh,0.5
duta besar,0.5
efektif,0.5
efisien,0.5
efisiensi,0.5
ejaan,0.5
ejakulasi,0.5
ek,0.5
eksotik,0.5
ekspedisi,0.5
ekspektasi,0.5
ekstasi,0.5
ekuitas,0.5
elaborasi,0.5
elite,0.5
emansipasi,0.5
emas,0.5
emeritus,0.5
emir,0.5
empati,0.5
encore,0.5
energik,0.5
ensiklopedi,0.5
ephemeris,0.5
epik,0.5
estetika,1.0
estetis,0.5
etika,0.5
etis,0.5
evolusi,0.5
fakta,0.5
fakultas,0.5
farmasi,0.5
favorit,0.5
festival,0.5
filsuf,0.5
fisika,0.5
fisiologi,0.5
fitting,0.5
fitur,0.5
fleksibilitas,0.5
fokus,0.5
fonetis,0.5
formatif,0.5
fusi,0.5
gadis,0.5
gagah,1.0
gagasan,0.5
gairah,0.5
gaji,0.5
ganti rugi,0.5
garnisun,0.5
gawang,0.5
gembala,0.5
gembira,1.5
gencatan senjata,0.5
gerah,0.5
gereja,0.5
giat,0.5
gigi,0.5
gigih,1.5
giliran,0.5
gubernur,0.5
gurih,1.0
guru,1.5
habitat,0.5
hadiah,1.0
haid,0.5
hak lebih tinggi,0.5
halus,0.5
harapan,0.5
harga diri,0.5
hari libur,0.5
hari ulang tahun,0.5
harmoni,0.5
harta benda,0.5
harta karun,0.5
harum,0.5
hasil,0.5
hasil karya,0.5
hati nurani,0.5
hati-hati,1.0
helm,0.5
hemat,0.5
heran,0.5
heroik,1.0
hiburan,1.5
hidup bersama,0.5
higienis,0.5
hijau,1.0
hijau abadi,0.5
hobi,0.5
homologi,0.5
hormat,1.0
hukum,0.5
idealisme,0.5
idola,0.5
ilmiah,0.5
ilmuwan,0.5
imajinatif,0.5
imamat,0.5
imut,0.5
inaugurasi,0.5
indah,0.5
indah sekali,0.5
individualitas,0.5
informasi,0.5
ingin sekali,0.5
ingin tahu,0.5
inklusif,0.5
inovasi,0.5
inspektur,0.5
inspirasi,0.5
instrumental,0.5
integritas,0.5
intelek,0.5
intelektual,0.5
intelijen,0.5
inti,0.5
intim,0.5
intisari,0.5
intonasi,0.5
intuisi,0.5
intuitif,0.5
inventif,0.5
irama,0.5
iringan,0.5
isi,0.5
istimewa,0.5
istirahat,1.0
izin,1.0
jackpot,0.5
jaminan,1.5
jamu,0.5
janda,0.5
jangkar,0.5
janji,0.5
jantan,0.5
jarum,0.5
jatuh cinta,0.5
jelas,2.0
jelasnya,0.5
jenakawan,0.5
jenis,0.5
jenius,0.5
jimat,0.5
jinak,0.5
juara,0.5
judul,0.5
jujur,2.5
kabinet,0.5
kafe,0.5
kamar bayi,0.5
kamus,0.5
kapitalis,0.5
karier,0.5
kartu as,0.5
karunia,0.5
kasih sayang,1.0
kata,0.5
kata pengantar singkat,0.5
kategoris,0.5
kaum bangsawan,0.5
kawan,0.5
ke luar,0.5
keadilan,0.5
keagungan,1.0
keahlian,1.5
keajaiban,1.5
keakraban,0.5
keandalan,0.5
keanggunan,0.5
keaslian,1.0
kebahagiaan,1.0
kebaikan,1.0
kebajikan,1.0
kebaktian,0.5
kebanggaan,0.5
kebangkitan,0.5
kebebasan,1.0
kebenaran,1.0
keberanian,2.5
kebersihan,0.5
keberuntungan,0.5
kebesaran,0.5
kebidanan,0.5
kebijaksanaan,2.0
kebulatan suara,0.5
kebun,0.5
kecakapan,0.5
kecantikan,0.5
kecapi,0.5
kecengengan,0.5
kecepatan,0.5
kecerahan,0.5
kecokelatan,0.5
kecukupan,1.0
kedalaman,0.5
kedatangan,0.5
kedekatan,0.5
kedermawanan,0.5
kedewasaan,0.5
kedudukan,0.5
keenakan,0.5
kegagahan,0.5
kegairahan,0.5
kegemaran,1.0
kegembiraan,4.0
kegigihan,1.0
kegunaan,1.0
kehadiran,0.5
keheningan,0.5
kehormatan,1.0
keibuan,0.5
keilahian,0.5
keindahan,0.5
kejujuran,2.0
kejutan,0.5
kekaguman,0.5
kekal,1.0
kekasih,1.0
kekayaan,1.0
kekek,0.5
kekuasaan,1.0
kekuatan,0.5
kekudusan,0.5
kekusutan,0.5
kelahiran,0.5
kelancaran,0.5
kelancaran berbicara,0.5
kelangsungan,0.5
kelemah-lembutan,0.5
kelembutan,0.5
kelengkapan,0.5
kelincahan,0.5
kelip,0.5
kelonggaran,0.5
keluarga,0.5
kelulusan,0.5
kemahiran,0.5
kemajuan,2.0
kemakmuran,1.0
kemampuan,1.0
kemanjuran,0.5
kemanusiaan,1.0
kemasyhuran,0.5
kembar,0.5
kemenangan,2.5
kementerian,0.5
kemerdekaan,0.5
kemewahan,1.0
kemitraan,0.5
kemurahan hati,0.5
kemurnian,0.5
ken,0.5
kenaikan,0.5
kenang-kenangan,1.0
kenari,0.5
kenyamanan,1.5
kepadatan,0.5
kepahlawanan,0.5
kepala pelayan,0.5
kepala suku,0.5
kepandaian,0.5
kepanikan,0.5
kepastian,1.0
kepatuhan,0.5
kepekaan,0.5
kepemilikan,0.5
keperawanan,0.5
kepercayaan,1.0
kepercayaan diri,0.5
kepolosan,0.5
kepopuleran,0.5
kepuasan,0.5
keramahan,1.0
kerendahhatian,0.5
kerenyam,0.5
keriting,0.5
keriuhan di pawai,0.5
kerja sama,0.5
kerukunan,0.5
kesabaran,1.0
kesadaran,0.5
kesalehan,0.5
kesan,0.5
kesatuan,0.5
kesederhanaan,0.5
kesediaan,0.5
kesehatan,0.5
keseimbangan,1.0
kesejukan,0.5
kesempurnaan,0.5
kesesuaian,1.5
kesetiaan,1.0
kesiapan,0.5
kesopanan,3.0
kesucian,0.5
kesukaan,0.5
kesuksesan,0.5
kesungguhan,0.5
ketaatan,0.5
ketabahan,0.5
ketahanan,0.5
ketajaman,1.0
ketakterbatasan,0.5
ketangkasan,1.0
ketegasan,0.5
keteguhan,0.5
ketekunan,0.5
ketenangan,2.0
ketepatan waktu,0.5
keteraturan,0.5
keterbacaan,0.5
keterbukaan,0.5
keterusterangan,0.5
ketidakberpihakan,0.5
ketinggian,0.5
ketua,1.0
keturunan,0.5
keuangan,0.5
keunggulan,2.0
keuntungan,1.0
kewaspadaan,1.0
keyakinan,0.5
khotbah,0.5
kicauan,0.5
kidung,0.5
kilap,0.5
kilau,0.5
kina,0.5
kisah,0.5
klasik,1.5
klerikal,0.5
klimaks,0.5
koalisi,0.5
kognitif,0.5
koheren,0.5
koherensi,0.5
kokoh,1.0
kolam,0.5
kolonel,0.5
kolosal,0.5
komandan,0.5
komentator,0.5
komodor,0.5
kompak,0.5
kompatibel,0.5
kompeten,0.5
kompetensi,1.0
komposer,0.5
komuni,0.5
komunikatif,0.5
kondusif,0.5
kongregasi,0.5
konkordansi,0.5
konsekrasi,0.5
konsentris,0.5
konservasi,0.5
konsistensi,0.5
konsonan,0.5
konstan,0.5
konstitusional,0.5
kontak,0.5
kontemplasi,0.5
kontur,0.5
kooperatif,0.5
korespondensi,0.5
kosakata,0.5
kosmopolitan,0.5
kreatif,0.5
kredibel,0.5
kredibilitas,0.5
kredit,0.5
krim,0.5
kristal,0.5
kronik,0.5
ksatria,0.5
kualifikasi,0.5
kuat,2.5
kuda jantan,0.5
kue-kue,0.5
kuliner,0.5
kutu buku,0.5
lagi,0.5
lagu,0.5
lagu Natal,0.5
lagu pendek,0.5
laksamana,0.5
lambang,0.5
lampiran,0.5
lamunan,0.5
langit,0.5
langsing,0.5
lapis,0.5
lapisan,0.5
larutan,0.5
laser,0.5
laut,0.5
layak,1.0
lebih besar,0.5
lebih menyukai,0.5
lebih tua,0.5
lega,0.5
legendaris,0.5
lembut,0.5
lencana,0.5
lentur,0.5
lezat,3.0
liburan,0.5
licin,0.5
liga,0.5
lihai,0.5
lincah,1.5
liris,0.5
listrik,1.0
logis,0.5
loyal,0.5
loyalitas,0.5
luar biasa,3.0
luas,1.5
lucu sekali,0.5
lumayan,0.5
lumba-lumba,0.5
lunak,0.5
maaf,0.5
magnet,0.5
magnetit,0.5
mahakuasa,0.5
mahatahu,0.5
mahir,1.5
maju,1.0
makan,0.5
makan malam,0.5
makanan,1.5
makmur,1.5
maksimum,0.5
malaikat,0.5
mandat,0.5
mandi,0.5
mandor,0.5
manfaat,0.5
manis,1.0
manisan,0.5
manna,0.5
mantap,0.5
manusia super,0.5
manusiawi,0.5
mapan,0.5
marquis,0.5
marsekal,0.5
masa kanak-kanak,0.5
masa kejayaan,0.5
maskulin,0.5
masyarakat,0.5
matahari,0.5
matahari terbenam,0.5
matang,0.5
mayoritas,0.5
mazmur,0.5
medali,0.5
mediasi,0.5
medis,0.5
mediterania,0.5
megah,2.5
mekar,0.5
melanjutkan,0.5
melebihi,1.0
melengkapi,0.5
melestarikan,1.0
melihat,0.5
melimpah,0.5
melimpahkan,0.5
melindungi,1.0
meluncur,0.5
meluncurkan,0.5
memaafkan,1.5
memahami,1.0
memancarkan,0.5
memandu,0.5
memanen,0.5
memastikan,0.5
mematangkan,0.5
mematuk,0.5
membaca,0.5
membangkitkan,0.5
membangun,1.0
membantu,1.0
membarui lagi,0.5
membayar,0.5
membayar kembali,1.0
membebaskan,0.5
membela,1.5
membenamkan,0.5
membentengi,0.5
membentuk,0.5
memberdayakan,0.5
memberi,1.5
memberikan,0.5
memberkati,1.0
membersihkan,0.5
membina,0.5
membuat terkesan,0.5
membuat ulang,0.5
membuktikan,1.0
membumbui,0.5
memeluk,0.5
memenuhi,0.5
memenuhi syarat,1.0
memeriahkan,0.5
memerintah,0.5
memikat hati,0.5
memilih,1.0
memiliki,0.5
memimpin,0.5
meminta maaf,0.5
mempekerjakan,0.5
mempelai,0.5
mempelajari,0.5
memperbaiki,3.0
mempercantik,0.5
memperingati,0.5
memperkaya,0.5
memperkuat,1.5
memperoleh,1.0
mempersiapkan,0.5
mempesona,1.0
memproduksi,0.5
memuaskan,1.0
memudahkan,0.5
memuja,1.0
memuji,1.0
memukau,0.5
memuliakan,0.5
memulihkan,0.5
memungkinkan,0.5
memurnikan,0.5
menakjubkan,1.0
menambah,0.5
menanggung,0.5
menara,0.5
menari,0.5
menarik,2.5
menasihati,1.0
menawan,1.0
menawarkan,0.5
mencerahkan,0.5
mencolok,0.5
mendahului,0.5
mendapatkan,1.5
mendarat,0.5
mendasar,0.5
mendayung,0.5
mendebarkan,0.5
mendeteksi,0.5
mendidik,0.5
menduga,0.5
mendukung,0.5
menebus,0.5
menegaskan,1.0
menegaskan kembali,0.5
menempa,0.5
menempati,0.5
menenangkan,1.5
menengahi,0.5
menerangi,1.0
menerima,1.0
mengagumi,0.5
mengagungkan,0.5
mengajar,0.5
mengalir,0.5
mengambil bagian,0.5
mengangkat,0.5
mengantar,0.5
menganugerahkan,0.5
mengatur,1.5
mengelola,0.5
mengembalikan lagi,0.5
mengembangkan,0.5
mengenakan,0.5
mengepung,0.5
mengerti,0.5
menggabungkan,0.5
menggarisbawahi,0.5
menggelitik,0.5
menggemaskan,0.5
menggertakkan,0.5
menggolongkan,0.5
menghadiahkan,0.5
mengharapkan,0.5
menghargai,1.0
menghasilkan,0.5
menghibur,2.0
menghidupkan,0.5
menghitung,0.5
menghormati,1.5
mengilhami,0.5
mengimbangi,1.0
menginginkan,0.5
menginstruksikan,0.5
mengisi kembali,0.5
mengolah,0.5
menguasai,0.5
menguatkan,0.5
mengubah,1.5
menguduskan,0.5
mengundang,1.0
mengunjungi,0.5
menguntungkan,1.0
menikmati,1.0
meningkatkan,0.5
meniru,0.5
menjaga,0.5
menjamin,1.0
menjanjikan,0.5
menjelaskan,2.0
menonjol,1.0
menopang,0.5
menukarkan,0.5
menyambut,0.5
menyampaikan,0.5
menyanjung,0.5
menyanyi,0.5
menyarankan,0.5
menyaring,0.5
menyebarkan,0.5
menyederhanakan,0.5
menyediakan,1.0
menyegarkan,0.5
menyelamatkan,0.5
menyelesaikan,1.0
menyelidiki,0.5
menyenangkan,3.0
menyeringai,0.5
menyesuaikan,0.5
menyetujui,1.0
menyimpan,0.5
menyimpulkan,0.5
menyinkronkan,0.5
menyiram,0.5
menyukai,1.0
menyumbang,0.5
meraih,0.5
merak,0.5
meramalkan,0.5
merangkul,0.5
merangsang,0.5
merapikan,0.5
merayakan,0.5
mercu suar,0.5
meredakan,1.0
merekonstruksi,0.5
meremajakan,0.5
merembes,0.5
merenovasi,0.5
merenungkan,0.5
merevisi,0.5
meriah,0.5
meringankan,0.5
merombak,0.5
metropolitan,0.5
mewah,1.5
meyakinkan,1.0
mikroskopi,0.5
mimbar,0.5
minat,0.5
minta maaf,0.5
minuman,0.5
misionaris,0.5
mitra,0.5
model,0.5
moderator,0.5
modis,0.5
momentum,0.5
montok,0.5
moral,1.0
moralitas,0.5
mortir,0.5
motif,0.5
muda,0.5
mudah,0.5
mudah beradaptasi,0.5
mudah diingat,0.5
murni,1.5
musik,0.5
musikal,0.5
mutlak,0.5
nabi,0.5
nalar,0.5
naluriah,0.5
nasihat,1.0
naskah,0.5
naturalis,0.5
negosiasi,0.5
nektar,0.5
nenek,0.5
nenek moyang,0.5
niat baik,0.5
nikah,0.5
nirkabel,0.5
normalitas,0.5
nyali,0.5
nyaman,1.0
nyanyian,0.5
nyanyian pujian,0.5
nyaring,0.5
nyata,0.5
oasis,0.5
obat mujarab,0.5
obat pencahar,0.5
objektif,0.5
opsional,0.5
optimis,1.0
optimisme,0.5
orang desa,0.5
orang-orang terkenal,0.5
organik,0.5
organisasi,0.5
orgasme,0.5
orkestra,0.5
otak,1.0
otorisasi,0.5
otoritas,0.5
pabrikan,0.5
pacaran,0.5
padang rumput,1.0
padat,0.5
paduan suara,1.5
pahat,0.5
pahlawan,0.5
pahlawan wanita,0.5
pak,0.5
paliatif,0.5
pandai berbicara,0.5
panduan,0.5
pangeran,1.0
pantas,0.5
pantomim,0.5
paprika,0.5
parietal,0.5
partisipasi,0.5
pasangan,1.0
pasien,0.5
pasti,0.5
paten,0.5
patriarkhal,0.5
patuh,0.5
patung,1.0
paus,0.5
pedalaman,0.5
pejantan,0.5
pekerjaan,1.0
pelabuhan,0.5
pelajaran,0.5
pelampung,0.5
pelanggan,0.5
pelawak,0.5
pelega,0.5
pelindung,1.5
pelopor,1.5
peluang,0.5
pemahkotaan,0.5
pembaca,0.5
pembantu,1.0
pembaptisan,0.5
pembaru,0.5
pembaruan,1.0
pembebasan,1.5
pembela,0.5
pembelaan,0.5
pembenaran,0.5
pemberani,0.5
pemberdayaan,0.5
pembersihan,1.0
pembicara utama,0.5
pembimbing,0.5
pemenang,1.0
pemenang hadiah,0.5
pemenuhan,0.5
pemikir,0.5
pemimpin,0.5
pemujaan,1.5
pemukim,0.5
pemulihan,0.5
pemulihan nama baik,0.5
pemurnian,0.5
penampil,0.5
penanaman,0.5
penangkal,1.0
penanya,0.5
penasihat,0.5
pencalonan,0.5
pencapaian,1.0
pencarian,0.5
pencegahan,0.5
pencerahan,0.5
penceramah,0.5
pendakian,0.5
pendamping,0.5
pendampingan,0.5
pendeta,2.0
pendidikan,1.0
penduduk,0.5
pendukung,1.0
penebusan,0.5
penebusan dosa,0.5
penemu,0.5
penemuan,0.5
penengah,0.5
penentuan,0.5
penerangan,0.5
penerbangan,0.5
penerimaan,0.5
pengagum,0.5
pengajar,0.5
pengalihan,0.5
pengampunan,0.5
pengantin,0.5
pengantin perempuan,0.5
pengarang,0.5
pengawal,0.5
pengawas,0.5
pengawet,0.5
pengekangan,0.5
pengelolaan,0.5
pengendara,0.5
pengetahuan,0.5
penggantian,0.5
penggemar,0.5
penggerak,0.5
penghargaan,0.5
penghiburan,0.5
penghormatan,0.5
penghuni,0.5
pengiriman,0.5
pengiring pengantin perempuan,0.5
pengisi daya,0.5
penglihatan,0.5
penguasaan,0.5
penguatan,0.5
pengudusan,0.5
pengunjung,0.5
penikmat,0.5
peninggian,0.5
peningkatan,0.5
penjaga,2.5
pentahbisan,0.5
penting,2.0
pentingnya,0.5
penuh,1.0
penuh arti,0.5
penuh bintang,0.5
penuh harapan,0.5
penuh kasih,1.0
penuh perhatian,1.0
penuh pertimbangan,0.5
penuh semangat,0.5
penulis,1.0
penutupan,0.5
penyair,0.5
penyataan,0.5
penyatuan,0.5
penyayang,0.5
penyelamatan,0.5
penyelesaian,0.5
penyewa,0.5
penyewaan,0.5
penyiasat,0.5
penyimpanan,0.5
penyumbang,0.5
penyunatan,0.5
perada,0.5
peradaban,0.5
peradilan,0.5
perakitan,0.5
peramal,1.0
perancang,0.5
perangsangan,0.5
perapian,0.5
perawakan,0.5
perawan,0.5
perawat,0.5
perayaan,0.5
perbaikan,1.5
percakapan,0.5
percaya,0.5
percaya diri,1.0
percintaan,0.5
perdamaian,1.0
perdebatan,0.5
perekam,0.5
perencanaan,0.5
perhatian,1.5
perhiasan,0.5
periang,0.5
perjalanan,1.0
perjamuan,0.5
perkawinan,0.5
perlindungan,0.5
permata,0.5
permen,0.5
permintaan maaf,0.5
pernikahan,0.5
perombakan,0.5
persahabatan,1.0
persamaan,0.5
persatuan,0.5
persaudaraan,1.0
persaudaraan wanita,0.5
persediaan,0.5
persemakmuran,0.5
persetujuan,2.0
pertahanan,0.5
pertanggungjawaban,0.5
pertanian,0.5
pertanyaan,1.0
pertimbangan kembali,0.5
pertumbuhan,0.5
perunding,0.5
perusahaan,0.5
perwalian,0.5
perwira,0.5
pesenam,0.5
pesisir,0.5
pesona,1.0
pesta,1.0
peternakan,0.5
petualang,0.5
petualangan,0.5
petugas,0.5
petunjuk,0.5
phoenix,0.5
piala,0.5
pidato,1.0
pijat,0.5
piknik,0.5
pil,0.5
pilih kasih,0.5
pilihan,1.0
pilot,0.5
pita,0.5
pleno,0.5
pohon,0.5
pohon salam,0.5
polisi,0.5
politik,0.5
polos,1.0
pondok,0.5
popularitas,0.5
populasi,0.5
poros,0.5
portabel,0.5
potensi,0.5
potongan harga,0.5
praktek,0.5
prem,0.5
presisi,0.5
prestasi,1.0
prestise,0.5
primer,0.5
produksi,0.5
produktif,1.0
produktifitas,0.5
produsen,0.5
profesi,0.5
profesional,0.5
profesor,0.5
progresif,0.5
promosi,0.5
prosedur,0.5
prosesi,0.5
prospek,0.5
pualam,0.5
puas,0.5
publik,0.5
pujian,1.0
puncak,1.0
putihnya,0.5
putri,0.5
radio,0.5
rahim,0.5
rahmat,0.5
raja,0.5
ramah,3.0
ramah tamah,0.5
ramping,0.5
rapi,1.5
rasa hormat,0.5
rasa ingin tahu,0.5
rasa manis,0.5
rasa syukur,0.5
rasional,0.5
rasul,0.5
reformasi,0.5
rehabilitasi,0.5
rekan,0.5
reklamasi,0.5
rekonsiliasi,0.5
rekonstruksi,0.5
rekreasi,1.0
rela,0.5
relaksasi,0.5
relevan,0.5
rendah hati,0.5
renovasi,0.5
reporter,0.5
reproduksi,0.5
resistif,0.5
resmi,0.5
responsif,0.5
restitusi,0.5
restoratif,0.5
reuni,0.5
revolusioner,0.5
riam,0.5
riang,1.5
ringkas,0.5
roadster,0.5
roh,0.5
romantis,0.5
romantisme,0.5
roti panggang,0.5
royalti,0.5
rubrik,0.5
rumah bermain,0.5
rumah tangga,0.5
rumus,0.5
rupawan,0.5
ruth,0.5
rutin,0.5
sadar,0.5
sah,1.0
salam,0.5
saleh,1.0
saling,0.5
salut,0.5
sama,0.5
sama sekali,0.5
samurai,0.5
sangat berharga,0.5
sangat gembira,0.5
sangat indah,1.0
sangat luas,0.5
sangat rapi,0.5
sanitasi,0.5
santai,0.5
santo,0.5
santun,0.5
saraf,0.5
sarapan,0.5
sarjana,0.5
sarjana muda,0.5
satin,0.5
saudara,0.5
saudara laki-laki,0.5
sayang,1.5
sebaiknya,0.5
sebelumnya,0.5
sebenarnya,0.5
secara harmonis,0.5
secara kolektif,0.5
secara mencolok,0.5
secara mengejutkan,0.5
secara pantas,0.5
sedang,0.5
sedang belajar,0.5
sederhana,0.5
sedikit,0.5
segel,0.5
segera,0.5
sehat,1.5
seimbang,0.5
sekering,0.5
sekretariat,0.5
seks,0.5
sekutu,1.0
sela,0.5
selai,0.5
selalu,0.5
selingan,0.5
semangat,3.5
sembuh,1.0
sempurna,2.5
senang,1.5
senang sekali,0.5
sendiri,0.5
seni,0.5
senioritas,0.5
sensasi,0.5
sensasional,0.5
sensual,0.5
sensualitas,0.5
sentimentil,0.5
senyum,0.5
sepak bola,0.5
sepakat,1.0
sepatutnya,0.5
sepenuh hati,0.5
sepenuhnya,0.5
seperti bangsawan,0.5
seperti beludru,0.5
seperti malaikat,0.5
seragam,0.5
serempak,0.5
serikat,0.5
seru,1.0
serum,0.5
sesama,0.5
sesepuh,0.5
sesuai,2.5
sesungguhnya,0.5
setia,1.0
setuju,1.5
siap,0.5
silsilah,0.5
simbolis,0.5
simetri,0.5
simetris,0.5
simfoni,0.5
simpati,0.5
simpatik,0.5
sinergis,0.5
singa,0.5
sinode,0.5
sipil,0.5
skor,0.5
sobat,0.5
solvabilitas,0.5
sonar,0.5
sonata,0.5
sonet,0.5
sopan,1.5
sosial,0.5
spa,0.5
