Indonesian Word,small
buritan,0
buronan,0
buruk,0
buruk sekali,0
burung bangkai,0
burung beo,0
burung raptor,0
busuk,0
buta,0
buta huruf,0
butir,0
cabang,0
cabul,0
cacat,0
cacian,0
cacing,0
cad,0
cahaya,0
cahaya bintang,0
cahaya matahari,0
cahaya redup,0
cakar,0
cakrawala,0
calon,0
camar,0
cambuk,0
campak,0
campur aduk,0
candaan,0
candu,0
canggih,0
cangkir,-1
cantik,0
cedera,0
cekikikan,0
cekung,0
celah,0
cemas,0
cemberut,0
cemburu,0
cemerlang,0
cemooh,0
cenderung,0
cepat,0
cerah,0
cercaan,0
cerdas,0
cerdik,0
cerewet,0
ceri,0
ceria,0
ceroboh,0
cess,0
cinta,0
ciuman,0
cocok,-1
cokelat,0
coklat kekuningan,0
contoh,0
crescendo,0
cucu,0
cukup,0
curang,0
curiga,0
dada,0
daemon,0
daerah kantong,0
daerah kumuh,0
daftar periksa,0
dahak,0
dakwaan,0
dalam hal,0
dalil,0
dangkal,0
dapat diakses,0
dapat diandalkan,0
dapat dibuktikan,0
dapat dicapai,0
dapat dikreditkan,0
dapat dinavigasi,0
dapat dipasarkan,0
dapat disembuhkan,0
dapat diterima,0
dapat ditindaklanjuti,0
dara,0
daratan rendah,0
darurat,0
dasar,0
daya hidup,0
daya konduksi,0
daya tahan,0
daya tarik,0
debu,0
dedikasi,0
definitif,0
defisit,0
deflasi,0
degradasi,0
deklinasi,0
dekrit,0
demam,0
demensia,0
demokrasi,0
demonstratif,0
dendam,0
dengan buruk,0
dengan dingin,0
dengan disabilitas,0
dengan enggan,0
dengan hati-hati,0
dengan kejam,0
dengan kekerasan,0
dengan ketakutan,0
dengan kuat,0
dengan lalai,0
dengan lemah,0
dengan menyedihkan,0
dengan murah hati,0
dengan pahit,0
dengan rendah hati,0
dengan santai,0
dengan sedih,0
dengan senang hati,0
dengan sia-sia,0
dengan tegas,0
dengung,-1
depan,0
deportasi,0
depresi,0
depresiasi,0
depresif,0
derajat,0
dering,0
derita,0
dermawan,0
desersi,0
desinfeksi,0
desis,0
deskriptif,0
despotisme,0
destruktif,0
detasemen,0
deteksi,0
devolusi,0
di depan,0
di luar hukum,0
diabaikan,0
diagnosa,0
diam,0
diampuni,0
dibakar,0
dibatasi,0
dibayar lebih,0
dibenarkan,0
diberikan,0
diberkahi,0
diberkati,0
dibom,0
dibuang,0
dibudidayakan,0
dicatat,0
dicuri,0
didiskualifikasi,0
didukung,0
diet,0
digagalkan,0
digelapkan,0
dihabiskan,0
dihukum,0
diinginkan,0
dikalahkan,0
dikenakan,0
dikenakan biaya,0
dikenali,0
dikonfirmasi,0
dikontrak,0
dikreditkan,0
diktator,0
diktatoris,0
dikutuk,0
dilarang,0
dilegalkan,0
dilemahkan,0
dilenyapkan,0
dilucuti,0
dimanifestasikan,0
dimulainya kembali,0
dimutilasi,0
dipakai,0
dipaksa,0
dipalsukan,0
dipenjara,0
diperbolehkan,0
diperbudak,0
diperdebatkan,0
diperingatkan sebelumnya,0
diperoleh,0
diperparah,0
dipertanyakan,0
diplomasi,0
diplomatik,0
dipoles,0
dipopulerkan,0
dipraktekkan,0
dipuji,0
dirajam,0
diramalkan,0
direbut,0
diremajakan,0
direncanakan,0
dirusak,0
disabilitas,0
disebutkan di atas,0
disengaja,-1
disentri,0
disesalkan,0
disimpan,0
disinformasi,0
disiplin,0
diskresi,0
diskriminasi,0
diskriminatif,0
diskualifikasi,0
diskusi,0
disonansi,0
distilasi,0
distorsi,0
disusutkan,0
ditahbiskan,0
ditandai,0
ditangkap basah,0
ditelantarkan,0
ditemukan,0
diterima,0
ditinggalkan,0
ditingkatkan,0
ditipu,0
ditiru,0
ditolak,0
dituduh,0
ditumbuhi,0
diukur,0
diverifikasi,0
divestasi,0
diwakili,0
dogmatis,0
dokter,0
domba,0
dominan,0
dominasi,0
dorongan,-1
dosa,0
douche,0
doyan,0
drainase,0
dua bahasa,0
duet,0
duka,0
dukun,0
duniawi,0
dupa,0
duri,0
durian runtuh,0
dusta,0
duta besar,0
efektif,0
efisien,0
efisiensi,0
egois,0
egoisme,0
ejaan,0
ejakulasi,0
ejekan,0
ek,0
eksaserbasi,0
eksekusi,0
eksotik,0
ekspedisi,0
ekspektasi,0
eksplosif,0
ekstasi,0
ekstremitas,0
ekuitas,0
elaborasi,0
eliminasi,0
elite,0
emansipasi,0
emas,0
embargo,0
emboli,0
emeritus,0
emir,0
empati,0
empedu,0
encok,0
encore,0
endemis,0
energik,0
enggan,0
engkol,0
ensiklopedi,0
ephemeris,0
epidemi,0
epik,0
epilepsi,0
erosi,0
erotis,-1
estetika,0
estetis,0
etika,0
etis,0
eutanasia,0
evakuasi,0
evolusi,0
fakta,0
fakultas,0
fana,0
fanatik,0
fantastis,0
farmasi,0
fasih,-1
fasik,0
fatal,0
favorit,0
feodal,0
feodalisme,0
festival,0
filibuster,0
filsuf,0
firasat,0
fisika,0
fisiologi,0
fitnah,0
fitting,0
fitur,0
fleksibilitas,0
flu,0
fluktuasi,0
fokus,0
fonetis,0
formatif,0
frustrasi,0
fusi,0
gadis,0
gaduh,0
gagah,0
gagal,0
gagasan,0
gaib,-1
gairah,0
gaji,0
gambar yg tak berarti,0
ganas,0
gang,0
gangguan,0
ganja,0
ganti rugi,-1
gantung,0
garang,0
garing,0
garis,0
garnisun,0
gawang,0
gegabah,0
gegar,0
gejala,0
gelandangan,0
gelisah,0
gembala,0
gembira,0
gemetar,0
gemetaran,0
gempa bumi,0
gemuk,0
gemuruh,0
gencatan senjata,0
gendut,0
genting,0
gerah,0
gereja,0
geriatrik,0
gerilya,0
germo,0
gerombolan,0
gertakan,0
getah,0
getaran,0
ghetto,0
giat,0
gigi,0
gigih,0
gila,0
giliran,0
gipsi,0
glasial,0
goblin,0
godaan,0
gonorea,0
gorila,0
gosip,0
goyah,0
granat,0
grizzly,0
grogi,0
gubernur,0
gubuk,0
gudang,0
gugatan,0
guillotine,0
gulat,0
gumpal,0
gumpalan,0
gunung berapi,0
gurih,0
guru,0
gurun,0
habitat,0
hadiah,0
haid,0
hak lebih tinggi,0
halangan,0
halter,0
halus,0
halusinasi,0
hama,0
hambar,0
hampa,0
hampir mati,0
hampir tidak,0
hancur,0
hantu,0
hanya sedikit,0
harapan,0
harga diri,0
hari libur,0
hari ulang tahun,0
harmoni,0
harry,0
harta benda,0
harta karun,0
harum,0
hash,0
hasil,0
hasil karya,0
hasutan,0
hati nurani,0
hati-hati,0
haus,0
haus darah,0
hawar,0
hebat,-1
hedonisme,-1
helm,0
hemat,0
heran,0
heroik,0
heroin,0
herpes,0
hiasan,-1
hiburan,0
hidrosefalus,0
hidup,-1
hidup bersama,0
higienis,0
hijau,0
hijau abadi,0
hilang,0
hina,0
hiperbola,0
hippie,0
hiruk pikuk,0
hiruk-pikuk,0
histeri,0
histeris,0
hiu,0
hobi,0
homologi,0
hormat,0
hubungan,-1
huff,0
hukum,0
hukuman,0
hukuman penjara,0
huuu,0
iblis,0
ibu,-1
idealisme,0
idola,0
igauan,0
ilmiah,0
ilmuwan,0
ilusi,0
imajinatif,0
imamat,0
imitasi,0
impoten,0
imut,0
inaugurasi,0
indah,0
indah sekali,0
individualitas,0
indoktrinasi,0
infark,0
infeksi,0
infiltrasi,-1
inflasi,0
influensa,0
informasi,0
ingin,0
ingin sekali,0
ingin tahu,0
inklusif,0
inkonstitusionil,0
inovasi,0
inses,0
inspektur,0
inspirasi,0
instrumental,0
integritas,0
intelek,0
intelektual,0
intelijen,0
intens,-1
intervensi,-1
inti,0
intim,0
intimidasi,0
intisari,0
intoleran,0
intoleransi,0
intonasi,0
intrik,0
intrusi,0
intuisi,0
intuitif,0
invasi,0
inventif,0
irama,0
irasional,0
irasionalitas,0
iri,0
iringan,0
isi,0
isi perut,0
isolasi,0
istimewa,0
istirahat,0
isu,0
izin,0
jackpot,0
jahat,0
jalan buntu,0
jalang,0
jaminan,0
jamu,0
jamur,0
janda,0
jangkar,0
janji,0
jantan,0
jarang,0
jargon,0
jarum,0
jasmani,-1
jatuh,0
jatuh cinta,0
jatuh terjerambab,0
jauh,0
jelaga,0
jelas,0
jelasnya,0
jelatang,0
jelek,0
jembalang,0
jenakawan,0
jenis,0
jenius,0
jenuh,0
jerat,0
jerawat,0
jijik,0
jilbab,0
jimat,0
jinak,0
john,0
jompo,0
jornada,0
juara,0
judul,0
jujur,0
junta,0
jurang,0
juru sita,0
kabar angin,0
kabinet,0
kabur,0
kabut,0
kacau,0
kafe,0
kafir,0
kain,0
kaku,0
kakus,0
kalajengking,0
kalimat,0
kamar bayi,0
kamar mayat,0
kambing hitam,0
kambuh,0
kamus,0
kandas,0
kanibal,0
kanibalisme,0
kanker,0
kantor polisi,0
kantuk,0
kapitalis,0
karat,0
kardiomiopati,0
karier,0
karies,0
karikatur,0
karnivora,0
karsinoma,0
kartel,0
kartu as,0
karunia,0
karut,0
kasar,0
kasih sayang,0
kasta,0
kasus,0
kata,0
kata lontaran,0
kata pengantar singkat,0
kata-kata,0
kata-kata kotor,0
katarak,0
kategoris,0
kateter,0
kaum bangsawan,0
kawan,0
ke belakang,0
ke luar,0
keadaan bangkrut,0
keadaan buruk,0
keadaan darurat,0
keadaan mendung,0
keadaan sulit,0
keadilan,0
keagungan,0
keahlian,0
keajaiban,0
keakraban,0
keandalan,0
keanehan,-1
keanggunan,0
keaslian,0
kebahagiaan,0
kebaikan,0
kebajikan,0
kebakaran,0
kebakaran besar,0
kebaktian,0
kebalikan,0
kebanggaan,0
kebangkitan,0
kebangkrutan,0
kebebasan,0
kebejatan,0
kebenaran,0
kebencian,0
keberangkatan,0
keberanian,0
keberatan,0
kebersihan,0
keberuntungan,0
kebesaran,0
kebetulan,0
kebiadaban,0
kebidanan,0
kebijaksanaan,0
kebinasaan,0
kebingungan,0
kebisingan,0
kebocoran,0
kebodohan,0
kebohongan,0
kebosanan,0
kebrutalan,0
kebulatan suara,0
kebun,0
kebuntuan,0
keburu,0
keburukan,0
kebutaan,0
kecabulan,0
kecakapan,0
kecanduan,0
kecantikan,0
kecapi,0
kecelakaan,0
kecemasan,0
kecemburuan,0
kecenderungan,-1
kecenderungan bunuh diri,0
kecengengan,0
kecepatan,0
kecerahan,0
kecerobohan,0
kecewa,0
kecil,0
kecokelatan,0
kecukupan,0
kecurigaan,0
kecut,0
kedalaman,0
kedaluwarsa,0
kedatangan,0
kedekatan,0
kedermawanan,0
kedewasaan,0
kediktatoran,0
kedinginan,0
kedudukan,0
keenakan,0
keengganan,0
kegagahan,0
kegagalan,0
kegairahan,0
keganasan,0
kegelapan,0
kegelisahan,0
kegemaran,0
kegembiraan,0
kegemparan,0
kegemukan,0
kegentingan,0
kegigihan,0
kegilaan,0
keguguran,0
kegunaan,0
kehadiran,0
kehamilan,0
kehancuran,0
kehebohan,0
keheningan,0
kehilangan,0
kehormatan,0
keibuan,-1
keilahian,0
keindahan,0
keinginan,-1
kejahatan,0
kejahatan besar,0
kejam,0
kejang,0
kejanggalan,0
kejatuhan,0
kejelekan,0
kejengkelan,0
kejujuran,0
kejut,0
kejutan,0
kekacauan,0
kekaguman,0
kekakuan,0
kekal,0
kekalahan,0
kekanak-kanakan,0
kekasaran,0
kekasih,0
kekayaan,0
kekecewaan,0
kekejaman,0
kekejangan,0
kekejian,0
kekek,0
kekeliruan,0
kekenyangan,0
kekeringan,0
kekesalan,0
kekhasan,0
kekuasaan,0
kekuatan,0
kekuatiran,0
kekudusan,0
kekurangan,0
kekurangan perhatian,0
kekusutan,0
kelahi,0
kelahiran,0
kelainan bentuk,0
kelakuan buruk,0
kelalaian,0
kelambanan,0
kelambatan,0
kelancaran,0
kelancaran berbicara,0
kelangkaan,0
kelangsungan,0
kelaparan,0
kelebihan,0
kelebihan muatan,0
keledai,0
kelelahan,0
kelemah-lembutan,0
kelemahan,0
kelembutan,0
kelengkapan,0
kelesuan,0
kelimpahan,-2
kelincahan,0
kelip,0
keliru,0
kelonggaran,0
keluar,0
keluarga,0
keluhan,0
kelulusan,0
kelumpuhan,0
kemabukan,0
kemahakuasaan,-1
kemahiran,0
kemajuan,0
kemakmuran,0
kemalangan,0
kemalasan,0
kemampuan,0
kemandulan,0
kemanjuran,0
kemanusiaan,0
kemarahan,0
kemasyhuran,-1
kematian,0
kembar,0
kemegahan,-1
kemenangan,0
kementerian,0
kemerdekaan,0
kemerosotan,0
kemewahan,0
kemiskinan,0
kemitraan,0
kemunafikan,0
kemunduran,0
kemurahan hati,0
kemurnian,0
kemustahilan,0
ken,0
kenaikan,0
kenang-kenangan,0
kenari,0
kendala,0
kendali,0
kendur,0
kenekatan,0
kengerian,0
kental,0
kenyamanan,0
kepadatan,0
kepahitan,0
kepahlawanan,0
kepala batu,0
kepala pelayan,0
kepala suku,0
kepalsuan,0
kepandaian,0
kepanikan,0
kepasifan,0
kepastian,0
kepatuhan,0
kepekaan,0
kepemilikan,0
kepengecutan,0
keperawanan,0
kepercayaan,0
kepercayaan diri,0
kepolosan,0
kepopuleran,0
kepuasan,0
kepulangan sakit,0
kepura-puraan,0
keputusasaan,0
keputusasan,0
keracunan,0
keraguan,0
kerakusan,0
keramahan,0
kerang,0
keras,0
keras hati,0
keras kepala,0
kerasukan,0
kerdil,0
kerendahhatian,0
kerentanan,0
kerenyam,0
keretakan,0
keriangan,0
keributan,0
kerinduan,-1
kering,0
keriting,0
keriuhan,0
keriuhan di pawai,0
kerja keras,0
kerja sama,0
kerugian,0
kerukunan,0
kerumitan,0
kerusakan,0
kerusuhan,0
kesabaran,0
kesadaran,0
kesalahan,0
kesalahpahaman,0
kesalehan,0
kesan,0
kesatuan,0
kesederhanaan,0
kesediaan,0
kesedihan,0
kesehatan,0
keseimbangan,0
kesejukan,0
keseleo,0
kesempurnaan,0
kesenangan,0
kesenangan karena menderita,0
kesendirian,0
kesengsaraan,0
kesepian,0
kesesuaian,0
kesetiaan,0
kesiapan,0
kesombongan,0
kesopanan,0
kesucian,0
kesukaan,0
kesuksesan,0
kesulitan,0
kesungguhan,0
kesuraman,0
kesurupan,0
kesyahidan,0
ketaatan,0
ketabahan,0
ketahanan,0
ketajaman,0
ketakterbatasan,0
ketakutan,0
ketamakan,0
ketangkasan,0
ketegasan,0
keteguhan,0
ketekunan,0
ketenangan,0
ketepatan waktu,0
keteraturan,0
keterbacaan,0
keterbukaan,0
ketergantungan,0
keterlaluan,0
keterlambatan,0
keterlibatan,-1
keterusterangan,0
ketiadaan,0
ketidakabsahan,0
ketidakadilan,0
ketidakamanan,0
ketidakbahagiaan,0
ketidakberdayaan,0
ketidakberpihakan,0
ketidakcocokan,0
ketidakcukupan,0
ketidakdewasaan,0
ketidakefisienan,0
ketidakhadiran,0
ketidakjelasan,0
ketidakjujuran,0
ketidakkonsistenan,0
ketidaklengkapan,0
ketidakmampuan,0
ketidakmurnian,0
ketidakpantasan,0
ketidakpatuhan,0
ketidakpedulian,0
ketidakpercayaan,0
ketidakpuasan,0
ketidaksabaran,0
ketidaksahan,0
ketidaksamaan,0
ketidaksempurnaan,0
ketidaksenangan,0
ketidaksetiaan,0
ketidaksetujuan,0
ketidakstabilan,0
ketidakteraturan,0
ketinggalan,0
ketinggian,0
ketombe,0
ketua,0
keturunan,0
keuangan,0
keunggulan,0
keuntungan,0
kewalahan,0
kewaspadaan,0
keyakinan,0
kezaliman,0
khawatir,0
khayalan,0
khloroform,0
khotbah,0
kiamat,0
kicauan,0
kidung,0
kilap,0
kilau,0
kina,0
kisah,0
kisi,0
kista,0
kita,0
klasik,0
klerikal,0
klimaks,0
knalpot,0
koalisi,0
kodok,0
kognitif,0
koheren,0
koherensi,0
kokain,0
kokoh,0
kolam,0
kolera,0
kolonel,0
kolosal,0
kolusi,0
koma,0
komandan,0
komentator,0
komodor,0
kompak,0
kompatibel,0
kompeten,0
kompetensi,0
kompetisi,0
kompleksitas,0
komplikasi,0
komplotan rahasia,0
kompos,0
komposer,0
komuni,0
komunikatif,0
komunisme,0
kondusif,0
konflik,0
kongregasi,0
konkordansi,0
konsekrasi,0
konselor,-1
konsentris,0
konservasi,0
konsistensi,0
konsonan,0
konspirator,0
konstan,0
konstitusional,0
kontak,0
kontaminasi,0
kontemplasi,0
kontensius,0
kontradiksi,0
kontradiktif,0
kontras,0
kontroversi,0
kontroversial,0
kontur,0
konyol,0
kooperatif,0
kopral,0
korban,0
koreksi,0
korespondensi,0
koroner,0
korosi,0
korosif,0
korup,0
korupsi,0
kosakata,0
kosmopolitan,0
kosong,0
kotor,0
kotoran,0
kreatif,0
kredibel,0
kredibilitas,0
kredit,0
krim,0
kriminalitas,0
krisis,0
kristal,0
kritik,-1
kronik,0
kronis,0
ksatria,0
kualifikasi,0
kuat,0
kuburan,0
kucing garong,0
kuda jantan,0
kudis,0
kue keju,0
kue-kue,0
kuliner,0
kulit pohon,0
kultus,0
kunci,0
kuning,0
kunjungan,0
kuno,0
kurang ajar,0
kurang bayar,0
kurang bersemangat,0
kurang informasi,0
kurang lengkap,0
kurang menarik,0
kurang pengalaman,0
kurang pengetahuan,0
kurang sopan,0
kurungan,0
kurus,0
kusta,0
kusut,0
kutil,0
kutu,0
kutu buku,-1
kutuk,0
kutukan,0
labirin,0
lagi,0
lagu,0
lagu Natal,0
lagu pendek,0
lahar,0
laknat,0
laksamana,0
lakukan,0
lalai,0
lalim,0
lamban,0
lambang,0
lampiran,0
lamunan,0
lamur,0
lancang,0
landak,0
langit,0
langka,0
langsing,0
langsung,-1
lapar,0
lapis,0
lapisan,0
larangan,0
larutan,0
laser,0
laut,0
lawan,0
layak,0
layang-layang,0
layu,0
lebih besar,0
lebih buruk,0
lebih menyukai,0
lebih rendah,0
lebih tua,0
lecet,0
lega,0
legendaris,0
lelah,0
lelaki yg tdk terpelajar,0
lelucon,0
lemah,0
lemak,0
lemas,0
lembam,0
lembek,0
lembut,0
lemon,0
lencana,0
lentur,0
lepuh,0
lesu,0
letal,0
letih,0
letusan,0
leukemia,0
lezat,-1
liar,0
liberal,-1
liburan,0
licin,0
liga,0
lihai,0
limbah,0
lincah,0
linglung,0
lintah,0
linu panggul,0
lirik,0
liris,0
listrik,0
logis,0
longgar,0
loon,0
lowongan,0
loyal,0
loyalitas,0
luak,0
luar biasa,-2
luar negeri,0
luas,0
lucu sekali,0
luka,0
lumayan,0
lumba-lumba,0
lumpuh,0
lumpur,0
lumpur salju,0
lunak,0
lupa,0
lusuh,0
lynch,0
maaf,0
maag,0
mabuk,0
mafia,0
magnet,0
magnetit,0
mahakuasa,0
mahatahu,0
mahir,0
maju,0
makan,0
makan malam,0
makanan,0
makanan ternak,0
makhluk,0
makhluk hidup,0
makmur,0
maksimum,0
malaikat,0
malang,0
malapetaka,0
malaria,0
malas,0
maling,0
malpraktik,0
malu,0
mandamus,0
mandat,0
mandi,0
mandor,0
manfaat,0
mangsa,0
manipulasi,0
manis,0
manisan,0
manna,0
mantap,0
manusia super,0
manusiawi,0
mapan,0
marquis,0
marsekal,0
martingale,0
martir,0
masa kanak-kanak,0
masa kejayaan,0
masa pensiun,-1
masalah,0
masam,0
maskulin,0
massa,0
masyarakat,0
mata duitan,0
matahari,0
matahari terbenam,0
matang,0
materialis,0
materialisme,0
mati,0
mati lemas,0
mati rasa,0
mayat,0
mayoritas,0
mazmur,0
medali,0
medan perang,0
mediasi,0
medis,0
mediterania,0
megah,0
mekar,0
melahap,0
melaksanakan,-1
melampiaskan,0
melanggar,0
melanggar hukum,0
melanjutkan,0
melankolik,0
melankolis,0
melarang,0
melawan,0
melayani,-1
melayu,0
melebih-lebihkan,0
melebihi,0
melecehkan,0
meledak,0
meledakkan,0
melelahkan,0
melemah,0
melengkapi,0
melengking,0
melengkung,0
melenyapkan,0
meleset,0
melestarikan,0
meletus,0
melewati,0
melibatkan,0
melihat,0
melimpah,0
melimpahi,0
melimpahkan,0
melindungi,0
meliur,0
melolong,0
melompat,-1
meluap,0
melukai,0
