Indonesian Word,average
buruk sekali,-0.5
burung bangkai,-0.5
burung beo,-0.5
burung raptor,-0.5
busuk,-1.0
buta,-0.5
buta huruf,-0.5
butir,-0.5
cabul,-1.0
cacat,-3.5
cacian,-0.5
cacing,-0.5
cad,-0.5
cakar,-1.0
camar,-0.5
cambuk,-0.5
campak,-0.5
campur aduk,-0.5
candaan,-0.5
candu,-1.0
cangkir,0.0
cedera,-0.5
cekung,-0.5
celah,-0.5
cemas,-0.5
cemberut,-1.0
cemburu,-0.5
cemooh,-0.5
cercaan,-0.5
cerewet,-1.5
ceroboh,-1.5
cess,-0.5
cocok,0.0
coklat kekuningan,-0.5
contoh,-0.5
curang,-0.5
curiga,-0.5
dada,-0.5
daemon,-0.5
daerah kantong,-0.5
daerah kumuh,-0.5
dahak,-0.5
dakwaan,-1.0
dalam hal,-0.5
dangkal,-0.5
dapat ditindaklanjuti,-0.5
dara,-0.5
daratan rendah,-0.5
darurat,-0.5
debu,-0.5
defisit,-0.5
deflasi,-0.5
degradasi,-1.0
deklinasi,-0.5
dekrit,-0.5
demam,-0.5
demensia,-0.5
dendam,-0.5
dengan buruk,-0.5
dengan dingin,-0.5
dengan disabilitas,-0.5
dengan enggan,-0.5
dengan kejam,-0.5
dengan kekerasan,-0.5
dengan ketakutan,-0.5
dengan lalai,-0.5
dengan lemah,-0.5
dengan menyedihkan,-0.5
dengan pahit,-0.5
dengan sedih,-0.5
dengan sia-sia,-0.5
dengung,0.0
deportasi,-0.5
depresi,-0.5
depresiasi,-0.5
depresif,-0.5
dering,-0.5
derita,-0.5
desersi,-0.5
desis,-0.5
despotisme,-0.5
destruktif,-0.5
detasemen,-0.5
devolusi,-0.5
di luar hukum,-0.5
diabaikan,-0.5
diagnosa,-0.5
dibakar,-0.5
dibatasi,-0.5
dibayar lebih,-0.5
dibom,-0.5
dibuang,-0.5
dicuri,-0.5
didiskualifikasi,-0.5
digagalkan,-0.5
digelapkan,-0.5
dihabiskan,-0.5
dihukum,-1.0
dikalahkan,-0.5
dikenakan,-0.5
dikenakan biaya,-0.5
dikontrak,-0.5
diktator,-0.5
diktatoris,-0.5
dikutuk,-0.5
dilarang,-1.5
dilemahkan,-0.5
dilenyapkan,-0.5
dilucuti,-0.5
dimutilasi,-0.5
dingin,-1.0
dipakai,-0.5
dipaksa,-0.5
dipalsukan,-0.5
dipenjara,-0.5
diperbudak,-0.5
diperdebatkan,-0.5
diperingatkan sebelumnya,-0.5
diperparah,-0.5
dipertanyakan,-0.5
dirajam,-0.5
direbut,-0.5
direncanakan,-0.5
dirusak,-0.5
disabilitas,-0.5
disentri,-0.5
disesalkan,-0.5
disimpan,-0.5
disinformasi,-0.5
disiplin,-0.5
diskriminasi,-0.5
diskriminatif,-0.5
diskualifikasi,-0.5
disonansi,-0.5
distorsi,-0.5
disusutkan,-0.5
ditangkap basah,-0.5
ditelantarkan,-0.5
ditinggalkan,-1.0
ditipu,-0.5
ditiru,-0.5
ditolak,-1.0
dituduh,-0.5
ditumbuhi,-0.5
divestasi,-1.0
dogmatis,-0.5
dominan,-0.5
dominasi,-0.5
dorongan,0.0
dosa,-0.5
douche,-0.5
doyan,-0.5
drainase,-0.5
duka,-3.0
dukun,-0.5
duniawi,-0.5
dupa,-0.5
duri,-1.0
dusta,-0.5
egois,-1.0
egoisme,-0.5
ejekan,-1.5
eksaserbasi,-0.5
eksekusi,-0.5
eksplosif,-0.5
ekstremitas,-0.5
eliminasi,-0.5
embargo,-0.5
emboli,-0.5
empedu,-1.0
encok,-0.5
endemis,-0.5
enggan,-1.0
engkol,-0.5
epidemi,-0.5
epilepsi,-0.5
erosi,-0.5
erotis,0.0
eutanasia,-0.5
evakuasi,-0.5
fana,-0.5
fanatik,-2.5
fantastis,-0.5
fasih,0.0
fasik,-0.5
fatal,-0.5
feodal,-0.5
feodalisme,-0.5
filibuster,-0.5
firasat,-1.0
fitnah,-2.0
flu,-0.5
fluktuasi,-0.5
frustrasi,-1.0
gaduh,-0.5
gagal,-1.5
gaib,0.0
gambar yg tak berarti,-0.5
ganas,-1.0
gang,-0.5
gangguan,-5.0
ganja,-0.5
gantung,-0.5
garang,-0.5
garing,-0.5
garis,-0.5
gegabah,-0.5
gegar,-0.5
gejala,-0.5
gelandangan,-1.0
gelisah,-2.0
gemetar,-1.0
gemetaran,-1.0
gempa bumi,-0.5
gemuk,-1.0
gemuruh,-0.5
gendut,-0.5
genting,-0.5
geriatrik,-0.5
gerilya,-0.5
germo,-0.5
gerombolan,-0.5
gertakan,-0.5
getah,-0.5
getaran,-0.5
ghetto,-0.5
gila,-6.0
gipsi,-0.5
glasial,-0.5
goblin,-0.5
godaan,-0.5
gonorea,-0.5
gorila,-0.5
gosip,-0.5
goyah,-0.5
granat,-0.5
grizzly,-0.5
grogi,-0.5
gubuk,-0.5
gudang,-0.5
gugatan,-0.5
guillotine,-0.5
gulat,-0.5
gumpal,-0.5
gumpalan,-0.5
gunung berapi,-0.5
gurun,-0.5
halangan,-1.5
halter,-0.5
halusinasi,-0.5
hama,-1.0
hambar,-1.5
hampa,-0.5
hampir mati,-0.5
hampir tidak,-0.5
hancur,-3.5
hantu,-0.5
hanya sedikit,-0.5
harry,-0.5
hash,-0.5
hasutan,-0.5
haus,-0.5
haus darah,-0.5
hawar,-0.5
hebat,0.0
hedonisme,0.0
heroin,-0.5
herpes,-0.5
hiasan,0.0
hidrosefalus,-0.5
hidup,0.0
hilang,-1.0
hina,-1.0
hiperbola,-0.5
hippie,-0.5
hiruk pikuk,-1.0
hiruk-pikuk,-0.5
histeri,-0.5
histeris,-0.5
hiu,-0.5
hubungan,0.0
huff,-0.5
hujan es,-0.5
hukuman,-2.0
hukuman penjara,-0.5
huuu,-0.5
iblis,-0.5
ibu,0.0
igauan,-0.5
ilusi,-0.5
imitasi,-0.5
impoten,-0.5
indoktrinasi,-0.5
infark,-0.5
infeksi,-0.5
infiltrasi,0.0
inflasi,-0.5
influensa,-0.5
ingin,-0.5
inkonstitusionil,-0.5
inses,-0.5
intens,0.0
intervensi,0.0
intimidasi,-0.5
intoleran,-0.5
intoleransi,-0.5
intrik,-0.5
intrusi,-0.5
invasi,-0.5
irasional,-0.5
irasionalitas,-0.5
iri,-0.5
isi perut,-0.5
isolasi,-0.5
isu,-0.5
jahat,-6.5
jalan buntu,-0.5
jalang,-0.5
jamur,-1.0
jarang,-0.5
jargon,-0.5
jasmani,0.0
jatuh,-2.0
jatuh terjerambab,-0.5
jauh,-0.5
jelaga,-1.0
jelatang,-0.5
jelek,-1.5
jembalang,-0.5
jenuh,-0.5
jerat,-1.0
jerawat,-0.5
jijik,-1.0
jilbab,-0.5
john,-0.5
jompo,-0.5
jornada,-0.5
junta,-0.5
jurang,-0.5
juru sita,-0.5
kabar angin,-0.5
kabur,-1.5
kabut,-0.5
kacau,-3.0
kafir,-1.0
kain,-0.5
kaku,-1.0
kakus,-1.0
kalajengking,-0.5
kalimat,-0.5
kamar mayat,-1.0
kambing hitam,-0.5
kambuh,-0.5
kandas,-0.5
kanibal,-0.5
kanibalisme,-0.5
kanker,-0.5
kantor polisi,-0.5
kantuk,-0.5
karat,-1.0
kardiomiopati,-0.5
karies,-0.5
karikatur,-0.5
karnivora,-0.5
karsinoma,-0.5
kartel,-0.5
karut,-0.5
kasar,-2.5
kasta,-0.5
kasus,-0.5
kata lontaran,-0.5
kata-kata,-0.5
kata-kata kotor,-0.5
katarak,-0.5
kateter,-0.5
ke belakang,-1.0
keadaan bangkrut,-0.5
keadaan buruk,-0.5
keadaan darurat,-0.5
keadaan mendung,-0.5
keadaan sulit,-0.5
keanehan,0.0
kebakaran,-0.5
kebakaran besar,-0.5
kebalikan,-0.5
kebangkrutan,-0.5
kebejatan,-0.5
kebencian,-3.5
keberangkatan,-0.5
keberatan,-0.5
kebetulan,-0.5
kebiadaban,-1.5
kebinasaan,-0.5
kebingungan,-1.5
kebisingan,-0.5
kebocoran,-0.5
kebodohan,-2.0
kebohongan,-0.5
kebosanan,-1.0
kebrutalan,-0.5
kebuntuan,-0.5
keburu,-0.5
keburukan,-1.5
kebutaan,-0.5
kecabulan,-0.5
kecanduan,-0.5
kecelakaan,-1.5
kecemasan,-1.0
kecemburuan,-0.5
kecenderungan,0.0
kecenderungan bunuh diri,-0.5
kecerobohan,-0.5
kecewa,-1.0
kecil,-0.5
kecurigaan,-0.5
kecut,-0.5
kedaluwarsa,-0.5
kediktatoran,-0.5
kedinginan,-0.5
keengganan,-1.0
kegagalan,-2.5
keganasan,-1.0
kegelapan,-1.0
kegelisahan,-0.5
kegemparan,-0.5
kegemukan,-0.5
kegentingan,-0.5
kegilaan,-1.0
keguguran,-0.5
kehamilan,-0.5
kehancuran,-1.5
kehebohan,-0.5
kehilangan,-3.5
keinginan,0.0
kejahatan,-2.5
kejahatan besar,-0.5
kejam,-4.0
kejang,-0.5
kejanggalan,-0.5
kejatuhan,-0.5
kejelekan,-0.5
kejengkelan,-1.0
kejut,-0.5
kekacauan,-3.0
kekakuan,-1.5
kekalahan,-0.5
kekanak-kanakan,-1.0
kekasaran,-1.0
kekecewaan,-1.5
kekejaman,-1.0
kekejangan,-0.5
kekejian,-0.5
kekeliruan,-1.0
kekenyangan,-0.5
kekerasan,-1.5
kekeringan,-0.5
kekesalan,-0.5
kekhasan,-0.5
kekuatiran,-0.5
kekurangan,-4.5
kekurangan perhatian,-0.5
kelahi,-0.5
kelainan bentuk,-0.5
kelakuan buruk,-0.5
kelalaian,-1.0
kelambanan,-0.5
kelambatan,-0.5
kelangkaan,-0.5
kelaparan,-2.0
kelebihan,-0.5
kelebihan muatan,-0.5
keledai,-0.5
kelelahan,-2.0
kelemahan,-1.5
kelesuan,-0.5
kelimpahan,0.0
keliru,-1.5
keluar,-0.5
keluhan,-1.0
kelumpuhan,-1.0
kemabukan,-0.5
kemahakuasaan,0.0
kemalangan,-0.5
kemalasan,-0.5
kemandulan,-1.0
kemarahan,-2.5
kematian,-2.0
kemegahan,0.0
kemerosotan,-1.5
kemiskinan,-0.5
kemunafikan,-0.5
kemunduran,-1.0
kemustahilan,-0.5
kendala,-0.5
kendali,-0.5
kendur,-0.5
kenekatan,-1.0
kengerian,-1.0
kental,-0.5
kepahitan,-0.5
kepala batu,-0.5
kepalsuan,-0.5
kepasifan,-0.5
kepengecutan,-0.5
kepulangan sakit,-0.5
kepura-puraan,-0.5
keputusasaan,-1.0
keputusasan,-0.5
keracunan,-1.0
keraguan,-1.0
kerakusan,-0.5
kerang,-0.5
keras,-2.5
keras hati,-0.5
keras kepala,-1.0
kerasukan,-0.5
kerdil,-1.0
kerentanan,-0.5
keretakan,-0.5
keriangan,-0.5
keributan,-2.5
kerinduan,0.0
kering,-0.5
keriuhan,-0.5
kerja keras,-0.5
kerugian,-1.0
kerumitan,-0.5
kerusakan,-1.0
kerusuhan,-0.5
kesalahan,-3.5
kesalahpahaman,-0.5
kesedihan,-1.5
keseleo,-0.5
kesenangan,-0.5
kesenangan karena menderita,-0.5
kesendirian,-0.5
kesengsaraan,-0.5
kesepian,-1.0
kesombongan,-2.0
kesulitan,-2.5
kesuraman,-0.5
kesurupan,-0.5
kesyahidan,-0.5
ketakutan,-1.0
ketamakan,-1.0
ketergantungan,-1.0
keterlaluan,-1.0
keterlambatan,-1.0
keterlibatan,0.0
ketiadaan,-1.0
ketidakabsahan,-0.5
ketidakadilan,-1.0
ketidakamanan,-0.5
ketidakbahagiaan,-0.5
ketidakberdayaan,-0.5
ketidakcocokan,-0.5
ketidakcukupan,-0.5
ketidakdewasaan,-0.5
ketidakefisienan,-0.5
ketidakhadiran,-0.5
ketidakjelasan,-1.0
ketidakjujuran,-1.0
ketidakkonsistenan,-0.5
ketidaklengkapan,-0.5
ketidakmampuan,-2.0
ketidakmurnian,-0.5
ketidakpantasan,-0.5
ketidakpatuhan,-0.5
ketidakpedulian,-0.5
ketidakpercayaan,-1.5
ketidakpuasan,-1.0
ketidaksabaran,-0.5
ketidaksahan,-0.5
ketidaksamaan,-0.5
ketidaksempurnaan,-0.5
ketidaksenangan,-0.5
ketidaksetiaan,-0.5
ketidaksetujuan,-0.5
ketidakstabilan,-0.5
ketidakteraturan,-0.5
ketinggalan,-0.5
ketombe,-0.5
kewalahan,-0.5
kezaliman,-0.5
khawatir,-1.0
khayalan,-0.5
khloroform,-0.5
kiamat,-0.5
kisi,-0.5
kista,-0.5
kita,-0.5
knalpot,-0.5
kodok,-0.5
kokain,-0.5
kolera,-0.5
kolusi,-0.5
koma,-0.5
kompetisi,-0.5
kompleksitas,-0.5
komplikasi,-0.5
komplotan rahasia,-0.5
kompos,-0.5
komunisme,-0.5
konflik,-0.5
konselor,0.0
konspirator,-0.5
kontaminasi,-0.5
kontensius,-0.5
kontradiksi,-0.5
kontradiktif,-0.5
kontras,-0.5
kontroversi,-0.5
kontroversial,-0.5
konyol,-1.5
kopral,-0.5
korban,-1.0
koreksi,-0.5
koroner,-0.5
korosi,-0.5
korosif,-0.5
korup,-0.5
korupsi,-0.5
kosong,-1.0
kotor,-2.0
kotoran,-4.0
kriminalitas,-0.5
krisis,-0.5
kritik,0.0
kronis,-0.5
kuburan,-1.0
kucing garong,-0.5
kudis,-0.5
kue keju,-0.5
kulit pohon,-0.5
kultus,-0.5
kunci,-0.5
kuning,-0.5
kunjungan,-0.5
kuno,-1.5
kurang ajar,-1.5
kurang bayar,-0.5
kurang bersemangat,-0.5
kurang informasi,-0.5
kurang lengkap,-0.5
kurang menarik,-0.5
kurang pengalaman,-0.5
kurang pengetahuan,-0.5
kurang sopan,-0.5
kurungan,-1.0
kurus,-0.5
kusta,-0.5
kusut,-1.0
kutil,-0.5
kutu,-2.0
kutuk,-0.5
kutukan,-1.0
labirin,-0.5
lahar,-0.5
laknat,-0.5
lakukan,-0.5
lalai,-2.0
lalim,-0.5
lamban,-1.5
lamur,-0.5
lancang,-0.5
landak,-0.5
langka,-0.5
langsung,0.0
lapar,-0.5
larangan,-1.5
lawan,-0.5
layang-layang,-0.5
layu,-0.5
lebih buruk,-0.5
lebih rendah,-1.5
lecet,-0.5
ledakan,-1.0
lelah,-2.0
lelaki yg tdk terpelajar,-0.5
lelucon,-1.0
lemah,-2.0
lemak,-0.5
lemas,-0.5
lembam,-0.5
lembek,-1.0
lemon,-0.5
lepuh,-0.5
lesu,-1.5
letal,-0.5
letih,-0.5
letusan,-0.5
leukemia,-0.5
liar,-2.0
liberal,0.0
licik,-1.0
limbah,-0.5
linglung,-0.5
lintah,-1.0
linu panggul,-0.5
lirik,-0.5
longgar,-0.5
loon,-0.5
lowongan,-0.5
luak,-0.5
luar negeri,-0.5
lucu,-0.5
luka,-1.0
lumpuh,-0.5
lumpur,-1.5
lumpur salju,-0.5
lupa,-0.5
lusuh,-0.5
lynch,-0.5
maag,-1.0
mabuk,-1.0
mafia,-0.5
makanan ternak,-0.5
makhluk,-0.5
makhluk hidup,-0.5
malang,-1.0
malapetaka,-1.5
malaria,-0.5
malas,-1.0
maling,-0.5
malpraktik,-0.5
malu,-1.5
mandamus,-0.5
mangsa,-0.5
manipulasi,-0.5
marah,-2.5
martingale,-0.5
martir,-0.5
masa pensiun,0.0
masalah,-0.5
masam,-1.0
massa,-0.5
mata duitan,-0.5
materialis,-0.5
materialisme,-0.5
mati,-1.0
mati lemas,-0.5
mati rasa,-1.0
mayat,-1.0
medan perang,-0.5
melahap,-0.5
melaksanakan,0.0
melampiaskan,-0.5
melanggar,-1.0
melanggar hukum,-0.5
melankolik,-0.5
melankolis,-0.5
melarang,-1.0
melarikan diri,-0.5
melawan,-1.0
melayani,0.0
melayu,-0.5
melebih-lebihkan,-0.5
melecehkan,-0.5
meledak,-1.0
meledakkan,-0.5
melelahkan,-1.0
melemah,-0.5
melengking,-0.5
melengkung,-1.5
melenyapkan,-0.5
melepaskan,-0.5
meleset,-0.5
meletus,-0.5
melewati,-0.5
melibatkan,-0.5
melimpahi,-0.5
meliur,-0.5
melolong,-0.5
melompat,0.0
meluap,-0.5
melukai,-0.5
melumpuhkan,-1.0
melupakan,-0.5
memadamkan,-1.0
memakai,-0.5
memaksa,-1.5
memalsukan,-0.5
memalukan,-3.0
memamerkan,-0.5
memancing,-1.0
memanggang,-0.5
memanipulasi,-0.5
memanjakan,-0.5
memar,-0.5
memarahi,-0.5
memarut,-0.5
mematikan,-0.5
membabi buta,-0.5
membagikan,-0.5
membahayakan,-1.0
membalas,0.0
membalikkan,-0.5
membanggakan,0.0
membanjiri,-1.0
membantah,-1.5
membanting,-0.5
membasmi,-0.5
membatalkan,-4.0
membatasi,-1.0
membebani,-0.5
membedakan,-0.5
membelah,-1.0
membelai,0.0
membenci,-2.0
memberatkan,-0.5
memberontak,-0.5
membesut,-0.5
membinasakan,-0.5
memboikot,-0.5
membombardir,-0.5
membongkar,-0.5
membosankan,-2.5
membual,-1.0
membuang,-1.0
membuat,0.0
membuat bingung,-0.5
membuka,0.0
membungkuk,-0.5
membunuh,-1.5
memburu,-0.5
memburuk,-1.5
membusuk,-1.5
memekik,-0.5
memenjarakan,-0.5
memerah,-0.5
memfitnah,-1.0
memisahkan,-0.5
memohon,-0.5
memotong,-1.0
memperbudak,-0.5
memperdaya,-0.5
memperingatkan,-0.5
memperkecil,-0.5
memperkosa,-0.5
memperlambat,-0.5
memperpanjang,0.0
mempertaruhkan,-0.5
mempertinggi,-0.5
memprovokasi,-0.5
memuakkan,-0.5
memudar,-0.5
memukul,-2.5
memukul mundur,-0.5
memulangkan,-0.5
memusnahkan,-0.5
memutuskan,-1.0
memveto,-0.5
memvonis,-0.5
menabrak,-0.5
menahan,-1.0
menakuti,-1.0
menambatkan,-0.5
menanduk,-0.5
menangis,-2.0
menangkap,-2.0
menanjak,0.0
menarik kembali,-0.5
menatap,-0.5
mencairkan,-0.5
mencambuk,-0.5
mencampuradukkan,-0.5
mencampuri,-0.5
mencekik,-1.5
mencela,-1.0
mencemari,-0.5
mencemoohkan,-0.5
mencetak kembali,-0.5
mencoba-coba,-0.5
mencolek,-0.5
mencongkel,-0.5
menculik,-0.5
mencurangi,-0.5
mencuri,-0.5
mencurigakan,-0.5
mendakwa,-1.0
mendambakan,-0.5
mendatangkan,-0.5
mendekam,-0.5
mendera,-0.5
menderita,-1.5
mendesak,-0.5
mendesis,-0.5
mendidihkan,-0.5
mendiskreditkan,-0.5
mendominasi,0.0
mendorong,0.0
mendung,-1.0
meneguk,-0.5
menegur,-0.5
menekan,-1.5
menekankan,-0.5
menelantarkan,-0.5
meneliti,-0.5
menembak,-0.5
menenggak,-0.5
menenggelamkan,-0.5
menentang,-1.5
meneror,-0.5
mengabaikan,-1.5
mengaburkan,-0.5
mengadili,-0.5
mengajukan perkara,-0.5
mengakui,0.0
mengalah,-0.5
mengalahkan,-1.0
mengamuk,-1.0
mengancam,-2.0
menganiaya,-0.5
mengasingkan,-0.5
mengatakan,-0.5
mengecam,-0.5
mengecewakan,-2.0
mengecilkan hati,-0.5
mengejar,-0.5
mengejek,-1.5
mengejuntukan,-0.5
mengejutkan,-0.5
mengelilingi,0.0
mengeluarkan,-1.0
mengeluh,-0.5
mengelupas,-0.5
mengembalikan ke penjara,-0.5
mengemis,-0.5
mengerang,-0.5
mengeras,-0.5
mengerikan,-11.0
mengernyit,-0.5
mengerutkan kening,-0.5
mengesalkan,-0.5
menggagalkan,-1.5
mengganggu,-4.5
mengganti rugi,-0.5
menggantikan,-0.5
menggasak,-0.5
menggelapkan,-0.5
menggelegar,-0.5
menggelepar,-0.5
menggeliat,-0.5
menggelikan,-0.5
menggelisahkan,-0.5
menggeram,-1.5
menggerenyet,-0.5
menggertak,-1.0
menggigil,-0.5
menggigit,-0.5
menggiling,0.0
menggoda,-1.5
menggosok,-0.5
menggugurkan,-0.5
menggulingkan,-1.0
menghalangi,-2.0
menghambat,-0.5
menghancurkan,-2.0
menghanguskan,-0.5
menghantui,-0.5
menghapus,-1.0
menghapuskan,-0.5
menghasut,-1.0
menghentikan,-0.5
menghilang,-0.5
menghilangkan,-0.5
menghina,-2.0
menghindari,-1.5
menghujat,-0.5
menghukum,-1.5
mengigau,-0.5
mengintai,-1.0
mengira,-0.5
mengirik,-0.5
mengisap,-0.5
mengizinkan,-0.5
mengkhawatirkan,-0.5
mengkhianati,-0.5
mengkritik,-0.5
mengoceh,-1.5
mengomel,-0.5
mengotori,-0.5
mengoyakkan,-0.5
menguap,-1.0
mengudara,-0.5
mengundurkan diri,-0.5
mengupas,-0.5
menguping,-0.5
mengurangi,-3.5
mengurung,-0.5
mengusap,-0.5
mengusir,-2.0
mengutil,-0.5
mengutip,0.0
mengutuk,-0.5
menimbulkan,-0.5
menimpa,-1.0
menindas,-1.0
meninggalkan,-2.0
meningkat,0.0
menipu,-3.5
menirukan,-0.5
menjadi korban,-0.5
menjarah,-1.5
menjatuhkan,-0.5
menjauhkan,-0.5
menjauhkan diri,-0.5
menjemukan,-0.5
menjengkelkan,-1.5
menjerit,-0.5
menjijikan,-0.5
menjijikkan,-2.5
menjilat,-0.5
menodai,-0.5
menolak,-4.0
menonaktifkan,-0.5
mentah,-0.5
mentolerir,-0.5
menuduh,-0.5
menular,-1.0
menulari,-0.5
menumbangkan,-0.5
menumpas,-0.5
menunda,-1.0
menundukkan,0.0
menuntut,-1.5
menurunkan,-1.0
menusuk,-0.5
menutup perkara,-0.5
menutupi,0.0
menyakiti,-1.0
menyakitkan,-1.5
menyalahkan,-0.5
menyalak,-0.5
menyalibkan,-0.5
menyangkal,-0.5
menyayangkan,-0.5
menyeberang,-0.5
menyedihkan,-1.5
menyelinap,-1.0
menyelundupkan,-0.5
menyembelih,-0.5
menyengat,-0.5
menyerah,-1.0
menyerahkan,-0.5
menyerang,-1.5
menyerbu,-0.5
menyesal,-1.0
menyesali,-0.5
menyesatkan,-1.0
menyia nyiakan,-0.5
menyiksa,-2.0
menyimpang,-0.5
menyinggung,-1.5
menyisihkan,-0.5
